File,Total Lines,Code Lines,Comment Lines,Blank Lines,Cyclomatic Complexity,Cognitive Complexity,Maintainability Index,Functions,Classes,Max Nesting,Halstead Volume,Halstead Difficulty,Halstead Effort,Estimated Bugs
Zenith\Windows\Multithreading\Zenith_Windows_Multithreading.cpp,140,107,6,27,3,4,30.63,2,1,2,3362.40,31.32,105325.99,1.121
Zenith\Windows\Multithreading\Zenith_Windows_Multithreading.h,35,25,0,10,1,0,51.19,0,2,1,395.00,7.33,2896.67,0.132
Zenith\Windows\Vulkan\Zenith_Windows_Vulkan.cpp,31,25,0,6,1,0,49.86,1,0,2,612.00,12.75,7803.04,0.204
Zenith\Windows\Zenith_OS_Include.h,7,5,0,2,1,0,74.28,0,0,0,30.00,0.00,0.00,0.010
Zenith\Windows\Zenith_Windows_DebugBreak.cpp,10,7,0,3,1,0,68.84,1,0,1,62.91,5.60,352.28,0.021
Zenith\Windows\Zenith_Windows_Main.cpp,135,90,20,25,4,5,32.92,1,0,2,2598.31,15.72,40836.16,0.866
Zenith\Windows\Zenith_Windows_Window.cpp,78,60,2,16,4,6,38.25,3,0,2,1592.78,17.66,28129.18,0.531
Zenith\Windows\Zenith_Windows_Window.h,60,44,0,16,2,1,41.84,5,1,2,1406.74,16.92,23806.42,0.469
Zenith\Zenith_DebugBreak.h,9,2,4,3,1,0,84.96,0,0,0,15.51,1.50,23.26,0.005
Zenith\Zenith_Main.cpp,140,93,21,26,4,5,32.54,1,0,2,2663.81,15.83,42157.76,0.888
