File,Total Lines,Code Lines,Comment Lines,Blank Lines,Cyclomatic Complexity,Cognitive Complexity,Maintainability Index,Functions,Classes,Max Nesting,Halstead Volume,Halstead Difficulty,Halstead Effort,Estimated Bugs
Zenith\Flux\Flux_Buffers.cpp,1,1,0,0,1,0,99.87,0,0,0,0.00,0.00,0.00,0.000
Zenith\Flux\Flux_Buffers.h,264,188,41,35,4,3,24.19,34,13,1,4626.41,45.11,208680.83,1.542
Zenith\Flux\Flux_CommandList.cpp,118,104,0,14,1,0,30.50,14,0,0,4198.63,27.78,116628.63,1.400
Zenith\Flux\Flux_CommandList.h,514,408,39,69,8,9,12.91,35,24,2,14150.09,42.59,602697.87,4.717
Zenith\Flux\Flux_Enums.h,198,170,34,23,2,1,27.68,1,0,0,2195.90,6.22,13663.38,0.732
Zenith\Flux\Flux_Fwd.h,74,48,15,11,1,0,44.05,0,47,0,541.81,0.50,270.91,0.181
Zenith\Flux\Flux_Graphics.cpp,413,323,44,54,25,32,12.67,23,0,2,14965.38,47.44,709920.08,4.988
Zenith\Flux\Flux_Graphics.h,134,85,32,18,1,1,33.78,4,8,0,2672.97,14.08,37627.15,0.891
Zenith\Flux\Flux_ImGuiIntegration.h,67,24,32,12,1,0,50.73,4,1,0,521.55,9.00,4693.94,0.174
Zenith\Flux\Flux_MaterialBinding.h,165,130,31,15,5,7,26.56,4,2,2,6398.54,54.58,349246.96,2.133
Zenith\Flux\Flux_ModelInstance.cpp,277,205,31,41,29,36,18.75,11,0,3,6983.21,55.40,386854.16,2.328
Zenith\Flux\Flux_ModelInstance.h,198,41,127,30,1,0,42.58,5,8,0,1434.96,17.57,25207.49,0.478
Zenith\Flux\Flux_PerFrame.cpp,164,105,42,16,6,6,31.01,11,0,2,2762.75,43.81,121034.63,0.921
Zenith\Flux\Flux_PerFrame.h,101,27,60,14,1,0,48.95,0,2,0,649.28,8.91,5787.51,0.216
Zenith\Flux\Flux_RenderTargets.cpp,476,328,84,64,30,34,11.96,21,0,2,14452.47,128.29,1854071.67,4.817
Zenith\Flux\Flux_RenderTargets.h,4,3,0,1,1,0,83.84,0,0,0,6.34,0.00,0.00,0.002
Zenith\Flux\Flux_Types.cpp,89,80,4,7,24,7,33.17,6,0,1,1429.31,17.60,25155.82,0.476
Zenith\Flux\Flux_Types.h,275,223,21,36,43,9,15.99,22,18,2,7190.29,33.52,241016.32,2.397
Zenith\Flux\Fog\Flux_Fog.cpp,263,179,42,44,8,8,22.56,11,1,2,7727.40,33.00,255004.20,2.576
Zenith\Flux\Fog\Flux_Fog.h,53,19,28,7,1,0,53.25,0,3,0,471.12,9.00,4240.09,0.157
Zenith\Flux\Fog\Flux_FroxelFog.cpp,405,310,45,61,2,1,16.20,19,3,1,14706.33,38.01,558966.86,4.902
Zenith\Flux\Fog\Flux_FroxelFog.h,66,26,28,12,1,0,49.66,0,6,0,578.25,8.25,4770.56,0.193
Zenith\Flux\Fog\Flux_GodRaysFog.cpp,156,104,23,31,2,2,29.92,4,1,1,4855.05,24.53,119094.06,1.618
Zenith\Flux\Fog\Flux_GodRaysFog.h,34,10,20,4,1,0,63.70,0,2,0,112.00,3.89,435.56,0.037
Zenith\Flux\Fog\Flux_RaymarchFog.cpp,187,139,29,34,2,1,26.29,4,1,1,6489.73,26.03,168935.78,2.163
Zenith\Flux\Fog\Flux_RaymarchFog.h,36,10,22,4,1,0,63.70,0,2,0,112.00,3.89,435.56,0.037
Zenith\Flux\Fog\Flux_VolumeFog.cpp,277,195,42,47,12,20,19.98,11,0,4,11579.91,56.59,655338.61,3.860
Zenith\Flux\Fog\Flux_VolumeFog.h,127,76,59,17,1,0,35.87,7,4,0,1904.25,9.94,18931.77,0.635
Zenith\Flux\Gizmos\Flux_Gizmos.cpp,879,624,126,151,74,74,0.00,29,2,3,40214.16,97.17,3907476.09,13.405
Zenith\Flux\Gizmos\Flux_Gizmos.h,135,89,22,28,1,0,32.35,4,8,0,3704.02,14.24,52727.86,1.235
